뜻1,단어1,품사1,뜻2,단어2,품사2
학술원,academy,NN,추가하다,add,VB
액센트,accent,NN,도착하다,arrive,JJ
뜻밖의 사건,accident,NN,나쁜,bad,JJ
vi행동하다,act,NN,기본의,basic,JJ
말을 걸다,address,NN,-이다,be,VB
성인,adult,NN,믿다,believe,VB
모험 모험하다,adventure,NN,큰,big,JJ
충고하다,advise,NN,검은,black,JJ
두려워하여,afraid,NN,거품 거품이 일다,bubble,JJ
오후,afternoon,NN,바쁜,busy,JJ
연령,age,NN,사다,buy,VB
동의하다,agree,NN,확신하는,certain,JJ
공기,air,NN,맑은,clear,JJ
비행기,airplane,NN,오다,come,VB
정기항공,airline,NN,이상스러운,curious,JJ
공항,airport,NN,죽은,dead,JJ
큰 소리로,aloud,NN,맛있는,delicious,JJ
더할나위없이,alright,NN,일기,diary,JJ
오전,A.M.,NN,다른,different,JJ
천사,angel,NN,곤란한,difficult,JJ
성,anger,NN,하다,do,VB
동물,animal,NN,쉬운,easy,JJ
대답,answer,NN,기본의,elementary,JJ
개미,ant,NN,유명한,famous,JJ
사과,apple,NN,환상적인,fantastic,JJ
면적,area,NN,발견하다,find,VB
팔,arm,NN,자유로운,free,JJ
예술,art,NN,새로운,fresh,JJ
묻다,ask,NN,가득찬,full,JJ
아주머니,aunt,NN,얻다,get,VB
"갓난아이, 막내   관심사, 골치아픈 일,",baby,NN,주다,give,VB
배경,background,NN,가다,go,VB
굽다,bake,NN,좋은,good,JJ
공,ball,NN,커다란,great,JJ
기구,balloon,NN,초록색,green,JJ
그룹,band,NN,행운의,happy,JJ
둑,bank,NN,단단한,hard,JJ
기초,base,NN,가지(고 있)다,have,VB
야구,baseball,NN,무거운,heavy,JJ
바구니,basket,NN,높은,high,JJ
농구,basketball,NN,뜨거운,hot,JJ
배트,bat,NN,중요한,important,JJ
목욕,bath,NN,계속하다,keep,VB
욕실,bathroom,NN,알다,know,VB
전지,battery,NN,큰,large,JJ
전투,battle,NN,계속하다,last,JJ
해안,beach,NN,작은,little,JJ
콩,bean,NN,살다,live,JJ
나르다,bear,NN,낮은,low,JJ
아름다움,beauty,NN,만들다,make,VB
-이 되다,become,NN,많은,many,JJ
침대,bed,NN,많은,much,JJ
침실 성적인,bedroom,NN,새로운,new,JJ
꿀벌,bee,NN,다음의,next,JJ
쇠고기,beef,NN,니스(프랑스 남부의 항구도시),nice,JJ
시작하다,begin,NN,늙은,old,JJ
종,bell,NN,열다,open,JJ
-의 곁에,beside,NN,"가난한 부족한, 불충분한, 빈약한",poor,JJ
자전거 자전거를 타다,bicycle,NN,강아지,puppy,JJ
계산서,bill,NN,조용한,quiet,JJ
새,bird,NN,준비가 된,ready,JJ
출생,birth,NN,붉은,red,JJ
생일,birthday,NN,기억하고 있다,remember,VB
물다,bite,NN,부자인,rich,JJ
덩어리,block,NN,달리다,run,VB
피,blood,NN,안전한,safe,JJ
푸른,blue,NN,같은,same,JJ
널빤지,board,NN,위험에서 구하다,save,VB
배,boat,NN,말하다,say,VB
신체,body,NN,보다,see,VB
폭탄 폭격하다,bomb,NN,짧은,short,JJ
뼈,bone,NN,느린,slow,VB
책,book,NN,작은 작은 부분 적게,small,JJ
목이 긴 구두,boot,NN,부드러운,soft,JJ
빌다,borrow,NN,강한,strong,JJ
두목,boss,NN,잡다,take,VB
병,bottle,NN,진실,true,JJ
밑바닥,bottom,NN,흰,white,JJ
사발,bowl,NN,나쁜,wrong,JJ
소년,boy,NN,젊은,young,JJ
뇌,brain,NN,,,
브레이크,brake,NN,,,
가지,branch,NN,,,
상표,brand,NN,,,
용감한,brave,NN,,,
빵,bread,NN,,,
부수다,break,NN,,,
아침밥,breakfast,NN,,,
다리,bridge,NN,,,
밝은,bright,NN,,,
가져오다,bring,NN,,,
형제,brother,NN,,,
갈색의 갈색,brown,NN,,,
솔,brush,NN,,,
벌레,bug,NN,,,
짓다,build,NN,,,
시내,burn,NN,,,
직업,business,NN,,,
단추 단추를 채우다 단추로 채워지다,button,NN,,,
새장,cage,NN,,,
달력,calendar,NN,,,
부르다,call,NN,,,
평온한,calm,NN,,,
사탕과자,candy,NN,,,
모자,cap,NN,,,
우두머리(chief),captain,NN,,,
자동차,car,NN,,,
걱정,care,NN,,,
당근,carrot,NN,,,
나르다,carry,NN,,,
(2륜)짐마차,cart,NN,,,
경우,case,NN,,,
현금 현금으로 바꾸다 현금의,cash,NN,,,
성,castle,NN,,,
고양이,cat,NN,,,
붙잡다,catch,NN,,,
사슬,chain,NN,,,
의장,chair,NN,,,
우연,chance,NN,,,
변화,change,NN,,,
값싼,cheap,NN,,,
방해,check,NN,,,
아이,child,NN,,,
고르다,choose,NN,,,
교회,church,NN,,,
영화관,cinema,NN,,,
원,circle,NN,,,
도시,city,NN,,,
계급,class,NN,,,
교실,classroom,NN,,,
청결한,clean,NN,,,
서기,clerk,NN,,,
영리한,clever,NN,,,
기어 오르다,climb,NN,,,
가위로 자르다,clip,NN,,,
시계,clock,NN,,,
천,cloth,NN,,,
구름,cloud,NN,,,
클럽,club,NN,,,
화폐,coin,NN,,,
추운,cold,NN,,,
모으다,collect,NN,,,
단과대학,college,NN,,,
착색하다,color,NN,,,
희극,comedy,NN,,,
교제,company,NN,,,
연주회,concert,NN,,,
조건,condition,NN,,,
축하하다,congratulate,NN,,,
겨루다,contest,NN,,,
억제하다,control,NN,,,
요리하다 요리사,cook,NN,,,
쿠키,cookie,NN,,,
서늘한,cool,NN,,,
사본,copy,NN,,,
모퉁이,corner,NN,,,
가격,cost,NN,,,
목화,cotton,NN,,,
나라,country,NN,,,
시골,countryside,NN,,,
한 쌍,couple,NN,,,
사촌,cousin,NN,,,
덮다,cover,NN,,,
위협하다 암소,cow,NN,,,
미친,crazy,NN,,,
십자형,cross,NN,,,
군중,crowd,NN,,,
왕관,crown,NN,,,
소리치다,cry,NN,,,
문화,culture,NN,,,
커어튼,curtain,NN,,,
고객,customer,NN,,,
베다,cut,NN,,,
귀여운,cute,NN,,,
순환,cycle,NN,,,
아빠,dad,NN,,,
댄스,dance,NN,,,
위험,danger,NN,,,
어두운,dark,NN,,,
날짜,date,NN,,,
딸,daughter,NN,,,
낮,day,NN,,,
죽음,death,NN,,,
결정하다,decide,NN,,,
깊은,deep,NN,,,
치과의사,dentist,NN,,,
디자인,design,NN,,,
책상,desk,NN,,,
대화,dialogue,NN,,,
죽다,die,NN,,,
정찬,dinner,NN,,,
더러운,dirty,NN,,,
토론하다,discuss,NN,,,
접시,dish,NN,,,
나누다,divide,NN,,,
박사,doctor,NN,,,
개,dog,NN,,,
인형,doll,NN,,,
돌고래,dolphin,NN,,,
문,door,NN,,,
당기다,draw,NN,,,
꿈,dream,NN,,,
마시다,drink,NN,,,
운전하다,drive,NN,,,
방울,drop,NN,,,
마른,dry,NN,,,
머리를 물 속에 쑥 쳐박다,duck,NN,,,
귀,ear,NN,,,
지구,earth,NN,,,
동쪽 동쪽의 동쪽으로,east,NN,,,
먹다,eat,NN,,,
알,egg,NN,,,
코끼리,elephant,NN,,,
끝,end,NN,,,
엔진,engine,NN,,,
기사,engineer,NN,,,
즐기다,enjoy,NN,,,
들어가다,enter,NN,,,
지우는 사람,eraser,NN,,,
잘못,error,NN,,,
시험,exam,NN,,,
보기,example,NN,,,
운동,exercise,NN,,,
출구,exit,NN,,,
눈,eye,NN,,,
얼굴,face,NN,,,
사실,fact,NN,,,
공장,factory,NN,,,
실패하다,fail,NN,,,
떨어지다,fall,NN,,,
가족,family,NN,,,
(영화 등의)팬,fan,NN,,,
농장,farm,NN,,,
빠른,fast,NN,,,
살찐,fat,NN,,,
아버지,father,NN,,,
마음에 드는 좋아하는 물건,favorite,NN,,,
만져보다,feel,NN,,,
열,fever,NN,,,
들,field,NN,,,
싸움,fight,NN,,,
종이끼우개,file,NN,,,
